id,company_id,company,role,category,description,requirements,location,deadline,salary,source,url,status,last_seen
54087426,cDNlNzFteTM1N1pZTmJMNlh6WUY2UT09,두산로보틱스(주),[두산로보틱스] R&D 지원 장애인근로자 채용,R&D,"ERP, 문서작성, 회계, 재무",경력무관 / 학력무관 / 계약직,경기성남시 분당구,07/05(일),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54087426&location=ts,마감,2026-06-18
54159604,Mmt2UXFHS2ZmVzJXdlJ5NWo2eGNkdz09,이노로보틱스(주),이노로보틱스(주) 사내 청소 미화·시설 관리원,R&D,"시설관리, 미화원, 청소, 반도체",경력무관 / 학력무관 / 정규직·계약직,경기화성시,07/12(일),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54159604&location=ts,마감,2026-06-18
53969442,QS9vWWlhT3VzSHo1Mm5ld0RFWHp1UT09,(주)파마로보틱스,(주)파마로보틱스에서 주사제 GMP 생산지원 담당자를 찾고 있어요,생산/제조,"생산관리, 의약·제약",경력무관 / 학력무관 / 정규직·기간제,전북전주시 덕진구,06/21(일),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53969442&location=ts,마감,2026-06-18
54125345,Wm5sVDd5dlZoQktsUHd1Y0IxYk85UT09,(주)키스템프그룹,HD현대로보틱스 CAD직군 다수 채용 [-연4000만수준/소속전환],R&D,"문서작성, 사무보조, 전화응대, OA",경력무관 / 초대졸↑ / 파견직,경기성남시 분당구,상시,,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54125345&location=ts,마감,2026-06-18
54169517,bUdBSEgyZ1l0TG9hVHRIci9sRFZodz09,(주)로그엔코딩,로보틱스 코딩 강사 모집(영어 수업 가능자),R&D,"임베디드, 로봇엔지니어, 메카트로닉스, 코딩",경력무관 / 대졸↑ / 정규직·계약직,서울강남구,07/14(화),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54169517&location=ts,마감,2026-06-18
53995776,RUhEVHNjQ1h4M2llZW5iRnIxVWd3UT09,(주)무화양조,(주)애스크로보틱스 경리 담당 채용,R&D,"경리, 총무, 사무행정, 서류관리",경력무관 / 학력무관 / 정규직·계약직,서울동작구,07/05(일),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53995776&location=ts,마감,2026-06-18
54608987,eWIvVTNFQnh4T2ErYTI5U3NweUtjQT09,현대모비스(주),[현대모비스] 서비스부품BU 물류현장 계약직(울산광역시 북구),필드엔지니어,"물류관리, 물류현장, 기계, 기계설비",경력무관 / 학력무관 / 기간제·계약직,울산북구,08/10(월),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54608987&location=ts,마감,2026-08-07
54181537,V1RVaytKakFrUEhxNUlNU3VNdUU4QT09,에이테크솔루션(주),"에이테크솔루션(주) 자동차부품양산 (영업,품질,개발,생기,사출)",R&D|생산/제조|영업,"기술영업, 네트워크영업, 기업영업, 자동화설계",신입·경력 / 고졸↑ / 정규직·계약직,충남천안시 서북구,상시,,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54181537&location=ts,마감,2026-06-18
54185364,eWIvVTNFQnh4T2ErYTI5U3NweUtjQT09,현대모비스(주),현대모비스 서비스부품BU 물류현장 계약직 채용 (전북 익산시),필드엔지니어,"물류관리, 물류현장업무, 기계, 기계설비",경력무관 / 학력무관 / 계약직,전북익산시,06/24(수),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54185364&location=ts,마감,2026-06-18
54521155,eWIvVTNFQnh4T2ErYTI5U3NweUtjQT09,현대모비스(주),현대모비스 품질담당 품질시험/운영 계약직 채용 (충남서산),생산/제조,"품질분석, 품질관리, 자동차, 기계",경력무관 / 고졸↑ / 계약직,충남서산시,07/30(목),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54521155&location=ts,마감,2026-07-25
