id,name,revenue,employees,founded,biz_type,industry,homepage,last_updated,url
VEJYOTFGRkRxYk9vUVBzWGhnekQyUT09,(주)디와이정보기술,,43명,2011년 7월 8일,중소기업,컴퓨터 제조업,http://dyinfotech.com,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=VEJYOTFGRkRxYk9vUVBzWGhnekQyUT09
amt3M1ozbnR2RUN0RkVDdnhRcS8ydz09,주식회사 워크포트,,,,,시설관리·경비·용역,,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=amt3M1ozbnR2RUN0RkVDdnhRcS8ydz09
YmkzT0pKS2FFeUVwWC9HblJYUzg5QT09,(주)티에스아이,,250명,2011년 7월 21일,중소기업,그 외 기타 특수목적용 기계 제조업,http://www.taesungind.co.kr,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=YmkzT0pKS2FFeUVwWC9HblJYUzg5QT09
RE1La1JEbWRyRUo3TFJnLzNKKzF6QT09,(주)바이너리컬,,3명,,,전기·전자·제어,,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=RE1La1JEbWRyRUo3TFJnLzNKKzF6QT09
VTBqQUN6Wk9NbXVqZ0pCWXg1UVBjQT09,(주)아큐레이저,,20명,2016년 8월 16일,20                                        명 출처: 국민연금 사원수,주형 및 금형 제조업,,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=VTBqQUN6Wk9NbXVqZ0pCWXg1UVBjQT09
R09IYzJxcmZOallVK2xGNkN2ZElPUT09,(주)테이아,,111명,2015년 3월 17일,111                                        명 출처: 국민연금 사원수 178억 2,응용 소프트웨어 개발 및 공급업,http://www.teia.co.kr,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=R09IYzJxcmZOallVK2xGNkN2ZElPUT09
NFFFMkE5MUNnQmJkSkZpN0RzV3RPdz09,(주)와이에스씨오토메이션,,7명,2024년 1월 2일,중소기업,그 외 기타 특수목적용 기계 제조업,https://ysc-automation.com/,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=NFFFMkE5MUNnQmJkSkZpN0RzV3RPdz09
Y3VRdjFtRHlXZjJuQlRhOWM5dlNCZz09,(주)시즐,,30명,2016년 8월 4일,중소기업,컴퓨터 프로그래밍 서비스업,https://sizl.co.kr/,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=Y3VRdjFtRHlXZjJuQlRhOWM5dlNCZz09
VUk0aExVQmhRT3A5TTlmQ3NaTnJRUT09,서창전기통신(주),,,1994년 3월 19일,중소기업,속도계 및 적산계기 제조업,http://www.scec.co.kr,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=VUk0aExVQmhRT3A5TTlmQ3NaTnJRUT09
TjJJMkRwUWFsVkZyNk5oKzdyTDJWdz09,(주)와이즈맥스,,8명,2009년 10월 12일,중소기업,유선 통신장비 제조업,http://www.wismax.co.kr,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=TjJJMkRwUWFsVkZyNk5oKzdyTDJWdz09
TnZQMVNRalBENXgvTHkyems4a3BvZz09,인텍전기전자(주),1877억7천만,441명,1996.12.10(31년차),,전기·전자·제어,http://www.entecene.co.kr,2026-06-17,https://www.jobkorea.co.kr/company/1525237
eFFaZUF3L2ZiRGpFaVg4UEV1VlZMQT09,(주)태성소프트기술,,6명,2021년 1월 5일,중소기업,응용 소프트웨어 개발 및 공급업,,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=eFFaZUF3L2ZiRGpFaVg4UEV1VlZMQT09
cWpQYnNVL1k1WFVENTJHc3QyVFh2Zz09,세피스,,15명,2003년 5월 1일,중소기업,응용 소프트웨어 개발 및 공급업,http://www.seffice.com,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=cWpQYnNVL1k1WFVENTJHc3QyVFh2Zz09
K01pL2hLUzRDU1ByYytFMmluUHFwdz09,(주)아이티엔제이,,18명,2015년 5월 22일,스타트업,응용 소프트웨어 개발 및 공급업,https://itnj.recruiter.im/home,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=K01pL2hLUzRDU1ByYytFMmluUHFwdz09
ZWROckJ4RzkzUFJhWk5kTkZKUzJqUT09,(주)소프트힐스,,35명,2013년 12월 5일,35                                        명 출처: 국민연금 사원수 31억 9,응용 소프트웨어 개발 및 공급업,http://www.softhills.net/,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZWROckJ4RzkzUFJhWk5kTkZKUzJqUT09
ckRtZ3JWeVBlOVRpamJZTHBLZHdTUT09,코리아써키트,1.4조원(2024),"1,298명",1972년 4월 11일,1000대기업,인쇄회로기판용 적층판 제조업,http://www.kcg.co.kr,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=ckRtZ3JWeVBlOVRpamJZTHBLZHdTUT09
d01JeWhXZDVjU0lVQlpCcWFMK0pYUT09,(주)유비즈,,17명,2019년 8월 26일,중소기업,응용 소프트웨어 개발 및 공급업,https://eubiz.it.kr,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=d01JeWhXZDVjU0lVQlpCcWFMK0pYUT09
U1lYalhYMGE4NUxGUUFhU0tVeU9YQT09,(주)트리즈,,67명,,중소기업,,http://www.treeze-eng.com,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=U1lYalhYMGE4NUxGUUFhU0tVeU9YQT09
YTQxcE14MWFGRENGZWZTN1h5YUpEQT09,(주)인포매직스,,13명,2002년 9월 3일,중소기업,"물질 검사, 측정 및 분석기구 제조업",http://www.infomagix.com,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=YTQxcE14MWFGRENGZWZTN1h5YUpEQT09
dnRTdVZVQ1VCRGhWeGtmMmJiVGJPUT09,엠피닉스(주),,248명,2012년 5월 16일,중소기업,광학렌즈 및 광학요소 제조업,http://mpnics.com,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=dnRTdVZVQ1VCRGhWeGtmMmJiVGJPUT09
eTExSU8yQXhoVkJXZWQwOWRMRjJuZz09,(주)마스오토,,11명,2017년 10월 10일,중소기업,응용 소프트웨어 개발 및 공급업,http://marsauto.io,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=eTExSU8yQXhoVkJXZWQwOWRMRjJuZz09
TTVET1VJbzNxaFJGNTJxN1ZOY3E4dz09,성부산업,,32명,,스타트업,농업 및 임업용 기계 제조업,http://www.isungboo.com,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=TTVET1VJbzNxaFJGNTJxN1ZOY3E4dz09
